time,X (m/s),Y (m/s),Yaw (rad)
116310,-672.511926770907,941.980252669414,4.5395325182219
116320,-672.539966651934,941.816448347188,4.53992084928412
116330,-672.567943443199,941.652632746731,4.54030900631503
116340,-672.59585722259,941.48880590644,4.54069695646326
116350,-672.623708052045,941.324967862045,4.5410846731088
116360,-672.651495972385,941.161118645776,4.54147213819503
116370,-672.679220998887,940.997258285675,4.54185934432767
116380,-672.706883117414,940.833386804992,4.54224629663491
116390,-672.734482280941,940.669504221655,4.5426330143752
116400,-672.762018408654,940.505610548107,4.543019531396
116410,-672.789491395342,940.341705792772,4.54340589299854
116420,-672.816901126123,940.177789962512,4.54379215099256
116430,-672.844247489427,940.013863064778,4.54417835883117
116440,-672.87153038777,939.849925109382,4.54456456704622
116450,-672.898749746584,939.68597610993,4.54495081904998
116460,-672.925905519837,939.522016084739,4.54533714799302
116470,-672.952997686995,939.358045056379,4.54572357653799
116480,-672.980026245142,939.194063050345,4.54611011829749
116490,-673.006991201895,939.030070093887,4.54649677948981
116500,-673.033892569722,938.866066215064,4.54688356062481
116510,-673.06073036163,938.702051442043,4.54727045815351
116520,-673.087504588326,938.538025802618,4.54765746591328
116530,-673.114215257649,938.3739893241,4.54804457598494
116540,-673.140862375466,938.209942033452,4.54843177916479
116550,-673.167445946748,938.045883957446,4.5488190653231
116560,-673.193965976506,937.881815122809,4.54920642368166
116570,-673.220422470594,937.717735556332,4.54959384300948
116580,-673.246815436638,937.553645285009,4.54998131162009
116590,-673.273144886609,937.389544336415,4.5503688167049
116600,-673.29941084033,937.225432739254,4.55075634329923
116610,-673.325613328575,937.061310523834,4.55114387325566
116620,-673.351752395727,936.897177722465,4.55153138427731
116630,-673.377828101852,936.733034369773,4.55191884908462
116640,-673.403840523419,936.568880502808,4.55230623509013
116650,-673.429789748263,936.404716160314,4.55269350603581
116660,-673.455675866954,936.240541381398,4.5530806247783
116670,-673.481498964923,936.076356204339,4.55346755605663
116680,-673.507259115788,935.912160665577,4.55385426909913
116690,-673.532956375738,935.747954798892,4.55424074003509
116700,-673.558590778783,935.583738634711,4.55462695408807
116710,-673.584162332663,935.419512199525,4.5550129075389
116720,-673.609671015229,935.255275515381,4.55539860945557
116730,-673.635116771305,935.091028599436,4.55578408311045
116740,-673.66049951426,934.926771464142,4.55616936550342
116750,-673.685819138035,934.762504119006,4.55655450338279
116760,-673.711075531309,934.598226572771,4.55693954836307
116770,-673.736268589547,934.43393883524,4.55732455224202
116780,-673.761398224932,934.269640918768,4.5577095626361
116790,-673.786464374413,934.105332839456,4.55809461903738
116800,-673.811467003084,933.941014617681,4.5584797504796
116810,-673.836406098852,933.776686277314,4.55886497607604
116820,-673.861281664739,933.612347844537,4.55925030653448
116830,-673.886093712381,933.447999346844,4.5596357457864
116840,-673.910842256901,933.283640812267,4.56002129262347
116850,-673.935527313101,933.119272268804,4.56040694227505
116860,-673.960148893241,932.954893744072,4.56079268768552
116870,-673.984707007019,932.79050526528,4.56117852023433
116880,-674.009201662379,932.626106859348,4.5615644302098
116890,-674.033632866396,932.461698553024,4.56195040718968
